OBJECTID *,Field1,CountryNum,StateNum,Route,RouteName,Active,Latitude,Longitude,Stratum,BCR,RouteTypeID,RouteTypeDetailID,RouteID,Shape *
202,1118,840,17,42,ADAMS CO.,1,39.840759,-104.188668,36,18,1,1,17042,Point
203,1119,840,17,43,GORDON CREEK,1,39.610559,-103.1231,36,18,1,1,17043,Point
204,1120,840,17,44,BETHUNE,1,39.388308,-102.427452,36,18,1,1,17044,Point
205,1121,840,17,45,UNCOMPAHGRE,1,38.739729,-108.623622,62,16,1,1,17045,Point
206,1122,840,17,46,CASTLETON,1,38.592052,-106.917498,62,16,1,1,17046,Point
207,1123,840,17,47,DOYLEVILLE,1,38.511252,-106.554206,62,16,1,1,17047,Point
208,1124,840,17,48,GUFFEY,1,38.982811,-105.574674,62,16,1,1,17048,Point
209,1125,840,17,49,EDISON,1,38.694518,-104.071594,36,18,1,1,17049,Point
210,1127,840,17,51,CHEYENNE,1,38.69335,-102.590675,36,18,1,1,17051,Point
211,1128,840,17,52,DOLORES RIV,1,37.790749,-108.020439,62,16,1,1,17052,Point
212,1129,840,17,53,LAKE CITY,0,37.985745,-107.22396,62,16,1,1,17053,Point
213,1130,840,17,54,PINOS CREEK,0,37.479856,-106.452279,62,16,1,1,17054,Point
214,1131,840,17,55,ALAMOSA,1,37.181085,-105.745965,87,16,1,1,17055,Point
215,1135,840,17,112,KIOWA 2,1,39.328838,-104.38167,36,18,1,1,17112,Point
216,1136,840,17,113,Last Chance 2,1,39.856886,-103.649376,36,18,1,1,17113,Point
217,1137,840,17,116,COLONA 2,1,38.305785,-107.963311,62,16,1,1,17116,Point
218,1138,840,17,122,CORTEZ,0,37.516654,-108.464516,84,16,1,1,17122,Point
219,1139,840,17,124,BLACKHEAD PK,1,37.288174,-106.837702,62,16,1,1,17124,Point
220,1140,840,17,125,SAN LUIS,1,37.287296,-105.552582,87,16,1,1,17125,Point
221,1142,840,17,138,Rosevale,1,39.052106,-108.575577,84,16,1,1,17138,Point
222,1143,840,17,153,RIO GRNDS RS,1,37.779275,-107.003624,62,16,1,1,17153,Point
223,1144,840,17,154,SUMMITVILLE,1,37.632987,-106.425093,62,16,1,1,17154,Point
224,1145,840,17,201,BROWNS PARK,1,40.616553,-108.673668,84,10,1,1,17201,Point
225,1146,840,17,202,DUNCKLEY PAS,1,40.210173,-107.03314,62,16,1,1,17202,Point
226,1147,840,17,203,BUFFALO PARK,1,40.133194,-106.490784,62,16,1,1,17203,Point
227,1148,840,17,204,DEADMAN RD.,1,40.759749,-105.472207,62,16,1,1,17204,Point
228,1149,840,17,205,GROVER,1,40.856616,-104.542015,36,18,1,1,17205,Point
229,1150,840,17,206,STONEHAM,1,40.5808,-103.658089,36,18,1,1,17206,Point
230,1151,840,17,207,AMHERST,1,40.614145,-102.084565,36,18,1,1,17207,Point
231,1152,840,17,208,DE BEQUE,1,39.513037,-108.46228,84,16,1,1,17208,Point
232,1153,840,17,209,FLATTOPS,1,39.646815,-107.616966,62,16,1,1,17209,Point
233,1154,840,17,210,THOMASVILLE,1,39.378993,-106.813599,62,16,1,1,17210,Point
234,1155,840,17,211,GUANELLA PAS,1,39.666667,-105.85,62,16,1,1,17211,Point
235,1156,840,17,212,PROSPECT VAL,0,39.985983,-104.510414,36,18,1,1,17212,Point
236,1157,840,17,213,LIMON,1,39.373985,-103.786724,36,18,1,1,17213,Point
237,1158,840,17,214,KIRK,1,39.534143,-102.592346,36,18,1,1,17214,Point
238,1159,840,17,215,PINON,1,38.265741,-108.34898,62,16,1,1,17215,Point
239,1160,840,17,216,PAONIA,1,38.838784,-107.602508,84,16,1,1,17216,Point
240,1161,840,17,217,TINCUP,1,38.747421,-106.431206,62,16,1,1,17217,Point
