"","RTENAME","RouteID","evd400m","evd1km","evd4km","evd5km","evd8km","evd20km","lvd400m","lvd1km","lvd4km","lvd5km","lvd8km","lvd20km","pwt400m","pwt1km","pwt4km","pwt5km","pwt8km","pwt20km","pwm400m","pwm1km","pwm4km","pwm5km","pwm8km","pwm20km"
"43","MT PINOS",14042,127.422820351366,121.975653425155,117.837540000968,118.065689044864,117.976008084968,119.5839726981,118.295447270249,115.686711553252,113.855114970825,113.282842851762,117.017885911076,116.391044254588,1707.15376702007,1639.90825826695,1672.57550446903,1648.24910485104,1600.80530322955,1573.37967978525,341.430753404015,327.98165165339,334.515100893805,329.649820970208,320.161060645911,314.67593595705
"44","DARWIN",14056,114.445086777453,116.718394355009,113.255825564994,113.315100910962,113.856529962017,112.713099882323,162.252119944327,162.981382365136,157.597419544851,157.547066454375,153.597811178458,150.665299563431,351.62496434561,488.456014707571,456.19923414118,450.255463950203,464.960564622016,493.574702656479,70.3249928691219,97.6912029415143,91.2398468282361,90.0510927900405,92.9921129244031,98.7149405312958
"45","EUREKA VAL",14058,116.57299224447,115.933204329021,117.47552954914,118.100348172754,118.512569730053,118.16062233424,130.746013681142,132.045783264067,134.593130328793,134.92702461374,134.74485034843,130.838575223197,405.020736766757,396.456134379719,395.100023337949,401.159394341877,402.07983198737,427.182544055828,81.0041473533513,79.2912268759437,79.0200046675897,80.2318788683754,80.4159663974739,85.4365088111656
"46","INYOKERN",14059,139.110120505117,135.591552622619,136.658235062202,136.199576160298,136.133006154492,135.618461663683,218.462231079157,213.784937382329,212.186055531416,211.608882904924,208.791872339768,197.516734109443,659.076477637487,642.489864663928,622.072475306654,623.314467989079,616.468192020765,621.29371829763,131.815295527497,128.497972932786,124.414495061331,124.662893597816,123.293638404153,124.258743659526
"47","LENWOOD",14060,132.750150995656,133.791254251282,136.507102748893,137.928759917765,141.906905470454,144.123139241587,164.979361650022,179.54700055395,167.842298345759,166.461769092773,169.978829376028,170.58428966485,536.231447127083,539.785249965353,540.094554594308,541.462905387932,542.521449398973,543.157424285008,107.246289425417,107.957049993071,108.018910918862,108.292581077586,108.504289879795,108.631484857002
"48","LANE MTN",14061,147.007441342072,140.331435954683,140.972578508897,141.571686105974,141.665130320549,141.88892228984,206.062574634819,186.689241031378,185.584131216606,186.388838962902,189.203269112972,192.798486855202,395.7190803534,399.223309692805,401.739245825147,411.206108489616,418.735724586053,422.327137398161,79.1438160706799,79.844661938561,80.3478491650294,82.2412216979233,83.7471449172106,84.4654274796322
"49","TRONA",14063,132.732436992891,131.816121195743,133.55789230168,134.192057651667,135.81202611319,133.697075208451,181.347621111411,180.564359176576,173.144776244447,170.192803695097,172.349401896314,172.450317335093,397.065133409503,390.172299896449,393.513336322135,409.198168424714,417.584259356282,434.60548728703,79.4130266819007,78.0344599792897,78.702667264427,81.8396336849429,83.5168518712564,86.9210974574061
"50","TECOPA",14064,122.663017081875,120.377145780179,120.168766612547,121.160344323498,121.824352991239,120.678771449039,170.540370577897,171.96444288989,167.227942995596,166.648994943749,170.327618352437,165.299005364478,422.535992351056,430.177268391725,417.210676337758,420.570971389178,425.141296281183,446.674908232558,84.5071984702112,86.035453678345,83.4421352675517,84.1141942778356,85.0282592562366,89.3349816465117
"51","SODA LAKE",14065,126.272511107629,123.87476668656,124.268549789816,123.422595823603,123.154657660432,122.991945752597,171.068249602733,163.542280538491,167.10216299572,169.073606187063,170.638354639493,178.616798563943,368.839165937623,376.598989819076,382.10461055627,382.603547698424,396.016448979061,436.664671752388,73.7678331875246,75.3197979638153,76.4209221112539,76.5207095396849,79.2032897958121,87.3329343504775
"52","INGALLS",14073,106.243795413746,103.863157901871,104.065978435932,104.254326426551,105.136200686878,105.490809894429,109.376020116691,108.297987584143,107.555798926774,107.484633418815,106.945972556957,106.893066333272,1107.49100949779,1094.56010758066,1114.23777052524,1114.37949977601,1158.70740341069,1190.44899262164,221.498201899559,218.912021516132,222.847554105048,222.875899955201,231.741480682138,238.089798524328
"53","RAVENDALE",14076,106.511152202969,106.207122902776,107.621501665273,107.487021596296,107.586806825784,107.470618030787,103.367915252678,103.360759971608,103.626305016284,103.593211785026,104.009547370044,104.425976099323,1046.04443834302,1094.30485607629,1142.95212001395,1145.01452264448,1193.17314077454,1272.74919859562,209.208887668604,218.860971215258,228.590424002789,229.002904528897,238.634628154908,254.549839719125
"54","SHASTA LAKE",14077,117.586218423542,116.782605467967,116.273229551961,116.531099088348,116.990624856432,121.476003318447,119.140789004194,118.525482396067,116.327055219806,116.444514915176,116.981847078773,122.196623531042,7291.40914591294,7172.47409869252,7207.91855775308,7218.61713232513,7302.6995112767,7175.93307175819,1458.28182918259,1434.4948197385,1441.58371155062,1443.72342646503,1460.53990225534,1435.18661435164
"55","JOHNSVILLE",14078,106.729923602095,107.730933100684,108.335363361903,108.456464581413,109.578164337347,112.778386192706,109.912330515574,110.700526363276,111.038440764447,111.004394229543,111.689470275884,113.222860164684,5271.36411355196,5048.45300236584,5099.65716923583,4953.58066301248,4929.11825848619,5181.90637841716,1054.27282271039,1009.69060047317,1019.93143384717,990.716132602495,985.823651697239,1036.38127568343
"56","COHASSET",14079,118.020995494814,117.585189849491,116.181949475041,116.449954093603,116.880985715745,115.399969963699,126.568294249253,129.843409009599,128.459173202295,128.478061899047,130.707729961885,132.057617048313,2671.24496045127,5047.29974031681,4080.81718401322,4265.00239531436,4263.8546730538,4233.66748424992,534.248992090254,1009.45994806336,816.163436802645,853.000479062872,852.77093461076,846.733496849983
"57","WOODFORDS",14082,107.992165552408,108.879871016392,114.864959220538,116.880132694477,118.609365109902,119.215336277398,113.331614933233,112.969821179314,113.786757641236,113.562878133932,112.700980077476,112.760194626228,5313.98016843888,4094.25850620078,4002.9906794221,3946.17307762549,4047.50673852571,3954.33738726549,1062.79603368778,818.851701240157,800.598135884419,789.234615525098,809.501347705143,790.867477453099
"58","BENTON",14084,120.77772433048,120.822293661268,120.103790429429,120.25768147273,120.060172778787,119.085227442849,113.023139025839,112.978230572451,112.356193687768,112.273451544654,111.865329190873,112.135226780852,957.075642972947,936.6320664651,1083.66640444329,1083.06871397102,1142.59121767618,1196.62342992791,191.415128594589,187.32641329302,216.733280888659,216.613742794205,228.518243535235,239.324685985583
"59","LUCERNE VAL",14085,150.86904968339,148.250958284341,145.8110515625,144.306759798206,142.1485669442,138.686319056484,129.078393114142,140.943497766282,146.622209105024,146.258385430511,149.197711054575,175.185788912868,613.481997754131,626.653485999163,633.997552938758,632.185174903652,643.720751196777,676.276859801298,122.696399550826,125.330697199833,126.799510587752,126.43703498073,128.744150239355,135.25537196026
"60","FT IRWIN",14094,134.727070367481,136.475451758215,139.53470108535,140.117030537475,140.529930120557,140.072533004285,175.238037229536,187.821946717235,188.725751221314,190.087729108586,189.44017250745,190.578249702538,420.537007836493,397.825500776542,418.893893069701,422.259359204102,428.981819201991,433.239113283072,84.1074015672986,79.5651001553083,83.7787786139403,84.4518718408204,85.7963638403983,86.6478226566144
