"","RouteID","sum","AOU","Ab09","Ab10","Ab11","Ab12","Ab13","Totalab","Aveab","Stdev","CoV","pres"
"246",81705,5,0,0,0,0,0,0,0,0,0,0,0
"247",81706,5,0,0,0,0,0,0,0,0,0,0,0
"248",81900,5,0,0,0,0,0,0,0,0,0,0,0
"249",81901,5,5620,9,5,13,3,5,35,7,4,0.571428571428571,1
"250",81907,5,0,0,0,0,0,0,0,0,0,0,0
"251",81908,5,0,0,0,0,0,0,0,0,0,0,0
"252",81909,5,0,0,0,0,0,0,0,0,0,0,0
"253",81911,5,0,0,0,0,0,0,0,0,0,0,0
"254",85004,5,0,0,0,0,0,0,0,0,0,0,0
"255",85011,5,5620,12,17,11,6,3,49,9.8,5.44977063737548,0.556099044630151,1
"256",85012,5,5620,5,5,4,1,3,18,3.6,1.67332005306815,0.464811125852264,1
"257",85015,5,5620,3,4,5,2,1,15,3,1.58113883008419,0.52704627669473,1
"258",85019,5,5620,4,5,6,0,1,16,3.2,2.58843582110896,0.808886194096549,1
"259",85020,5,0,0,0,0,0,0,0,0,0,0,0
"260",85021,5,0,0,0,0,0,0,0,0,0,0,0
"261",85022,5,0,0,0,0,0,0,0,0,0,0,0
"262",85024,5,5620,19,72,29,32,29,181,36.2,20.6082507748717,0.569288695438445,1
"263",85104,5,5620,11,17,2,19,57,106,21.2,21.0760527613688,0.994153432140036,1
"264",85108,5,5620,7,13,13,3,9,45,9,4.24264068711928,0.471404520791032,1
"265",85109,5,5620,2,6,25,4,0,37,7.4,10.0895986045035,1.36345927087886,1
"266",85112,5,5620,4,10,9,1,5,29,5.8,3.70135110466435,0.638163983562819,1
"267",85119,5,5620,2,1,7,0,0,10,2,2.91547594742265,1.45773797371133,1
"268",85120,5,0,0,0,0,0,0,0,0,0,0,0
"269",85121,5,0,0,0,0,0,0,0,0,0,0,0
"270",85123,5,5620,10,6,8,2,2,28,5.6,3.57770876399966,0.63887656499994,1
"271",85153,5,5620,13,5,2,12,16,48,9.6,5.85662018573853,0.610064602681097,1
"272",85155,5,5620,44,60,21,45,12,182,36.4,19.5012820091398,0.535749505745599,1
"273",85156,5,5620,1,4,0,10,14,29,5.8,6.01664358259653,1.03735234182699,1
"274",85169,5,0,0,0,0,0,0,0,0,0,0,0
"275",85174,5,5620,32,30,15,17,24,118,23.6,7.56967634711022,0.320748997758908,1
"276",85203,5,5620,8,2,3,12,8,33,6.6,4.09878030638384,0.621027319149067,1
"277",85206,5,5620,27,37,22,24,17,127,25.4,7.43639697703128,0.292771534528791,1
"278",85251,5,5620,3,24,38,6,7,78,15.6,14.9766484902331,0.960041569886734,1
"279",85313,5,5620,2,0,5,0,1,8,1.6,2.07364413533277,1.29602758458298,1
"280",85316,5,5620,18,13,18,14,10,73,14.6,3.43511280746353,0.235281699141338,1
"281",85317,5,0,0,0,0,0,0,0,0,0,0,0
"282",85318,5,5620,4,1,20,12,6,43,8.6,7.53657747256671,0.876346217740315,1
"283",85321,5,0,0,0,0,0,0,0,0,0,0,0
"284",85323,5,5620,4,9,7,9,20,49,9.8,6.05805249234438,0.618168621667794,1
"285",85368,5,5620,4,0,0,2,0,6,1.2,1.78885438199983,1.49071198499986,1
"286",85901,5,5620,114,94,66,86,38,398,79.6,28.9274955708233,0.363410748377177,1
"287",85902,5,5620,32,47,32,21,3,135,27,16.2941707368003,0.603487805066679,1
"288",85903,5,5620,101,93,87,79,31,391,78.2,27.5898532072934,0.352811422088151,1
"289",85904,5,5620,38,22,16,38,20,134,26.8,10.4498803820905,0.389920909779496,1
"290",85906,5,0,0,0,0,0,0,0,0,0,0,0
"291",85909,5,5620,2,17,3,7,16,45,9,7.10633520177595,0.789592800197327,1
"292",89005,5,0,0,0,0,0,0,0,0,0,0,0
"293",89006,5,5620,3,5,2,0,0,10,2,2.12132034355964,1.06066017177982,1
"294",89016,5,0,0,0,0,0,0,0,0,0,0,0
"295",89019,5,0,0,0,0,0,0,0,0,0,0,0
"296",89021,5,0,0,0,0,0,0,0,0,0,0,0
"297",89029,5,0,0,0,0,0,0,0,0,0,0,0
"298",89035,5,0,0,0,0,0,0,0,0,0,0,0
"299",89036,5,0,0,0,0,0,0,0,0,0,0,0
"300",89043,5,0,0,0,0,0,0,0,0,0,0,0
"301",89046,5,0,0,0,0,0,0,0,0,0,0,0
"302",89049,5,0,0,0,0,0,0,0,0,0,0,0
"303",89050,5,0,0,0,0,0,0,0,0,0,0,0
"304",89054,5,0,0,0,0,0,0,0,0,0,0,0
"305",89055,5,0,0,0,0,0,0,0,0,0,0,0
"306",89057,5,5620,13,6,4,7,3,33,6.6,3.91152144312159,0.592654764109332,1
"307",89061,5,0,0,0,0,0,0,0,0,0,0,0
"308",89063,5,0,0,0,0,0,0,0,0,0,0,0
"309",89069,5,5620,3,2,1,1,2,9,1.8,0.836660026534076,0.464811125852264,1
"310",89070,5,0,0,0,0,0,0,0,0,0,0,0
"311",89071,5,0,0,0,0,0,0,0,0,0,0,0
"312",89075,5,5620,22,17,32,32,39,142,28.4,8.79204185613331,0.309578938596243,1
"313",89152,5,0,0,0,0,0,0,0,0,0,0,0
"314",89164,5,0,0,0,0,0,0,0,0,0,0,0
"315",89906,5,0,0,0,0,0,0,0,0,0,0,0
"316",89908,5,0,0,0,0,0,0,0,0,0,0,0
"317",89909,5,0,0,0,0,0,0,0,0,0,0,0
"318",89950,5,0,0,0,0,0,0,0,0,0,0,0
"319",89951,5,0,0,0,0,0,0,0,0,0,0,0
"320",92001,5,5620,19,13,14,30,45,121,24.2,13.4424700111252,0.555473967401867,1
"321",92002,5,5620,2,0,2,1,4,9,1.8,1.48323969741913,0.82402205412174,1
"322",92005,5,5620,9,8,15,28,35,95,19,11.9791485507109,0.630481502668997,1
"323",92007,5,0,0,0,0,0,0,0,0,0,0,0
"324",92009,5,5620,7,7,3,22,11,50,10,7.28010988928052,0.728010988928052,1
"325",92011,5,5620,62,41,25,29,27,184,36.8,15.4012986465428,0.418513550177793,1
"326",92015,5,5620,4,8,12,4,12,40,8,4,0.5,1
"327",92018,5,5620,41,66,43,22,26,198,39.6,17.3579952759528,0.438333214039212,1
"328",92019,5,0,0,0,0,0,0,0,0,0,0,0
"329",92022,5,5620,22,17,6,12,8,65,13,6.557438524302,0.504418348023231,1
"330",92026,5,5620,17,17,7,22,11,74,14.8,5.84807660688538,0.395140311276039,1
"331",92028,5,0,0,0,0,0,0,0,0,0,0,0
"332",92030,5,5620,10,6,2,35,20,73,14.6,13.2211951048307,0.90556130855005,1
"333",92039,5,5620,7,22,15,8,23,75,15,7.51664818918645,0.501109879279097,1
"334",92040,5,0,0,0,0,0,0,0,0,0,0,0
"335",92042,5,5620,1,1,1,2,0,5,1,0.707106781186548,0.707106781186548,1
"336",92044,5,0,0,0,0,0,0,0,0,0,0,0
"337",92053,5,5620,15,13,3,27,27,85,17,10.1980390271856,0.599884648657975,1
"338",92059,5,5620,13,24,23,0,19,79,15.8,9.83361581515162,0.622380747794406,1
"339",92061,5,5620,33,20,26,16,10,105,21,8.88819441731559,0.423247353205504,1
"340",92064,5,5620,9,8,5,7,18,47,9.4,5.02991053598372,0.535096865530183,1
"341",92077,5,0,0,0,0,0,0,0,0,0,0,0
"342",92081,5,5620,55,56,53,28,22,214,42.8,16.4225454787009,0.383704333614507,1
"343",92082,5,5620,59,62,45,40,34,240,48,12.1037184369102,0.252160800768963,1
"344",92083,5,5620,6,15,16,6,9,52,10.4,4.82700735445887,0.464135322544122,1
"345",92084,5,5620,21,19,19,7,21,87,17.4,5.89915248150105,0.339031751810405,1
"346",92085,5,5620,21,28,25,5,4,83,16.6,11.3269589917153,0.682346927211765,1
"347",92087,5,5620,1,2,0,0,1,4,0.8,0.836660026534076,1.04582503316759,1
"348",92090,5,0,0,0,0,0,0,0,0,0,0,0
"349",92097,5,5620,31,38,28,24,15,136,27.2,8.52642949891688,0.313471672754297,1
"350",92104,5,5620,33,23,10,13,26,105,21,9.46044396421225,0.450497331629155,1
"351",92120,5,5620,17,10,15,4,11,57,11.4,5.02991053598372,0.441220222454712,1
"352",92148,5,0,0,0,0,0,0,0,0,0,0,0
"353",92150,5,0,0,0,0,0,0,0,0,0,0,0
"354",92206,5,0,0,0,0,0,0,0,0,0,0,0
"355",92250,5,0,0,0,0,0,0,0,0,0,0,0
"356",92901,5,5620,6,0,0,5,26,37,7.4,10.7610408418517,1.45419470835834,1
